id,customerName,level,month,day,year,resTime
10190,Elon Lee,Critical,8,13,2024,9
10191,Mallory Smith,Medium,6,12,2023,129
10192,Yvonne LovelacePoe,Low,11,14,2025,179
10193,Niaj Thompson,High,8,8,2024,113
10194,Karl Turner,Critical,11,13,2026,206
10195,Quentin Lopez,Low,9,22,2025,247
10196,Kevin Baker,Low,6,14,2023,68
10197,Diana Musk,High,11,11,2025,338
10198,Frank Mitchell,High,6,23,2026,189
10199,Jeff Musk,Low,11,19,2023,206
10200,Mallory Musk,Low,2,22,2026,351
10201,Steve Harris,Medium,6,11,2024,114
10202,Mark Allen,Critical,7,13,2026,360
10203,Tim Turing,Medium,4,9,2026,167
10204,Ethan Harris,High,10,19,2024,75
10205,Mark Jackson,Critical,12,20,2023,281
10206,Fiona Young,Medium,3,27,2025,19
10207,Aaron Thomas,Medium,10,20,2024,259
10208,David Walker,Critical,10,7,2024,204
10209,Bill Roberts,Medium,7,12,2025,251
10210,Nancy Ross,High,9,21,2024,223
10211,Mark Turner,Critical,7,21,2023,182
10212,Trent Williams,Medium,6,2,2023,239
10213,Grace Jackson,Low,7,22,2026,109
10214,Uma Zuckerberg,Medium,5,22,2026,250
10215,Hannah Carter,Medium,9,23,2023,212
10216,Peggy Ross,Low,9,26,2025,23
10217,Mike Gates,Critical,1,5,2025,53
10218,Heidi Hill,Low,7,25,2024,293
10219,Sybil Green,Critical,7,6,2023,118
10220,Peggy Allen,Medium,10,2,2026,114
10221,Olivia Miles,Low,7,9,2023,172
10222,Olivia Phillips,Critical,1,18,2024,297
10223,Judy Roberts,Low,12,9,2026,234
10224,Laura Lopez,Low,9,11,2024,173
10225,Linda Moore,Medium,5,22,2023,189
10226,Elon Green,Low,9,16,2023,68
10227,Karl Carter,Medium,12,12,2023,96
10228,Nancy LovelacePoe,Critical,8,2,2026,118
10229,Ethan Garcia,Low,7,7,2024,97
10230,Ethan Gonzalez,Critical,2,9,2023,54
10231,Frank Lee,Low,8,25,2023,242
10232,Jasmine Anderson,Low,12,20,2025,294
10233,Yvonne Garcia,Low,7,21,2023,43
10234,Ian Hernandez,Low,11,17,2023,94
10235,Alan Johnson,Critical,5,23,2025,245
10236,Bill Davis,Low,3,26,2024,146
10237,Frank Davis,Low,7,27,2024,59
10238,Elon Lewis,Critical,1,14,2023,121
10239,Rupert Walker,Low,5,18,2023,191
10240,Bob Miller,Low,8,28,2026,141
10241,Tim Jobs,Critical,11,6,2024,330
10242,Bob Thompson,Low,8,11,2026,21
10243,Olivia Baker,High,2,9,2026,243
10244,Olivia Roberts,High,9,5,2026,106
10245,Linda White,High,3,13,2024,79
10246,Ian Johnson,Medium,11,17,2024,142
10247,Linda Taylor,Low,10,19,2024,195
10248,Ada Garcia,Medium,10,26,2024,259
10249,Hannah Harris,Medium,7,7,2025,36
10250,Grace Green,Critical,8,16,2025,220
10251,Diana Hall,Medium,3,13,2023,339
10252,Tim Miles,Low,3,19,2023,46
10253,Yvonne Musk,Medium,3,17,2024,87
10254,Frank Smith,Critical,11,15,2025,246
10255,Bob Jobs,Low,11,8,2024,335
10256,Xander Gonzalez,High,10,17,2023,262
10257,Aaron Nelson,Critical,6,24,2024,196
10258,Jeff Wilson,High,9,4,2024,40
10259,Mike Hall,High,12,27,2025,98
10260,Rupert Miller,Medium,1,14,2025,174
10261,Sky Wright,Critical,7,18,2023,71
10262,Mallory Wilson,Medium,3,28,2024,150
10263,Frank Ross,Medium,3,9,2025,78
10264,Sky Turner,High,5,25,2023,235
10265,Tim Green,Critical,6,14,2026,217
10266,Wendy Ross,Low,2,24,2024,352
10267,Alan Moore,Critical,8,14,2024,291
10268,David Ross,Medium,8,26,2024,27
10269,Judy Thompson,Low,6,14,2024,77
10270,Alan Brown,Low,1,8,2024,297
10271,Mallory Zuckerberg,Low,10,20,2024,319
10272,Wendy Walker,Critical,6,4,2023,234
10273,Diana Jobs,Critical,4,14,2026,17
10274,Alice Carter,High,8,22,2026,140
10275,Wendy Allen,Critical,5,1,2024,35
10276,Bob Carter,High,11,4,2026,6
10277,Sky Taylor,Low,12,21,2025,70
10278,Mark Baker,Critical,10,18,2024,78
10279,Olivia Davis,High,7,7,2024,346
10280,Heidi Young,Critical,6,23,2024,336
10281,Sybil Brown,Critical,5,1,2025,29
10282,Ada LovelacePoe,High,10,1,2024,130
10283,Mallory Davis,Low,8,14,2025,221
10284,Grace Miles,High,10,23,2026,203
10285,Linda Jackson,Medium,12,12,2023,289
10286,Yvonne Hill,Low,3,15,2026,309
10287,Carlos Jackson,Low,8,12,2026,208
10288,Zach Turner,High,12,21,2026,363
10289,Elon Zuckerberg,Medium,4,12,2024,261
10290,Beth Smith,Critical,10,19,2026,362
10291,Jasmine Musk,High,2,9,2026,136
10292,Eve Smith,Critical,4,20,2023,127
10293,Yvonne Nelson,High,4,6,2023,124
10294,Zach Wilson,High,4,9,2025,283
10295,Eve Williams,Critical,4,18,2024,240
10296,Mallory Lopez,Medium,3,20,2026,281
10297,Steve Perez,Low,7,24,2026,160
10298,Fiona Walker,Critical,10,19,2026,262
10299,Carlos Wilson,Low,5,12,2025,117
10300,Uma Gates,Low,7,10,2026,315
10301,Beth Garcia,Low,7,12,2023,56
10302,Ethan Jackson,Low,11,15,2023,193
10303,Aaron Gates,Critical,7,4,2023,124
10304,Alan Jobs,Medium,9,2,2025,122
10305,Beth Wilson,Low,5,4,2025,118
10306,Rupert Turner,Low,5,16,2023,8
10307,David Thomas,Medium,3,7,2024,343
10308,Fiona Gonzalez,Medium,1,1,2024,295
10309,Elon Zuckerberg,High,4,4,2026,359
10310,Ada Hill,Low,6,1,2024,186
10311,David Wilson,Low,10,14,2023,114
10312,Beth Perez,Medium,9,6,2024,172
10313,Tim Johnson,High,11,8,2025,145
10314,Elon Roberts,Critical,11,7,2024,53
10315,Mark Turing,High,12,18,2026,302
10316,Ethan Jones,Medium,8,9,2024,359
10317,Linus Hernandez,Critical,9,14,2024,173
10318,Fiona Hall,Critical,12,27,2026,145
10319,Karl Martin,Medium,1,21,2023,238
10320,Bob Musk,Low,10,3,2025,231
10321,Xander Johnson,Low,5,11,2026,73
10322,Ada Smith,Low,12,20,2023,47
10323,Jasmine Hernandez,Low,10,28,2026,86
10324,Niaj Garcia,Critical,12,5,2025,47
10325,Hannah Mitchell,High,5,2,2024,71
10326,Judy Mitchell,Low,6,7,2026,279
10327,Yvonne Anderson,High,8,21,2025,86
10328,Kevin Wright,High,7,24,2025,66
10329,Steve Thompson,Low,3,10,2026,64
10330,Nancy Roberts,Low,8,11,2024,258
10331,Xander Turing,High,1,1,2024,33
10332,Judy Lewis,Critical,7,15,2026,34
10333,Diana Gates,Low,4,11,2026,347
10334,Victor Green,Low,12,13,2024,275
10335,Niaj Jackson,Low,7,11,2025,21
10336,Judy Moore,Medium,6,7,2026,310
10337,Sybil LovelacePoe,Medium,4,25,2024,325
10338,Kevin Allen,Low,11,25,2024,208
10339,Uma Hall,High,12,1,2024,35
10340,Jeff Zuckerberg,High,3,13,2026,85
10341,Bob Turing,High,9,14,2026,282
10342,Niaj Lee,Medium,6,18,2023,348
10343,Ivan Allen,Medium,9,20,2024,337
10344,Grace Smith,Medium,10,20,2025,266
10345,Heidi Mitchell,Low,4,10,2024,326
10346,Mallory Lee,High,2,18,2026,187
10347,Uma Garcia,Medium,6,18,2026,195
10348,Bill Allen,Low,5,4,2025,352
10349,Linus Ross,Low,4,27,2024,333
10350,Xander Turing,Low,4,24,2026,133
10351,Carol Gonzalez,Critical,10,6,2026,94
10352,Wendy Taylor,Critical,9,15,2025,207
10353,Ethan Phillips,Critical,9,7,2026,17
10354,Aaron Young,Medium,11,13,2023,14
10355,David Jobs,Medium,7,23,2025,15
10356,Eve Adams,Medium,8,24,2026,109
10357,Karl Lewis,Critical,6,12,2024,158
10358,Tim Brown,Low,9,3,2024,70
10359,Heidi Johnson,High,2,28,2023,216
10360,Quentin Gates,Critical,4,13,2025,361
10361,Ada Brown,Critical,7,7,2025,299
10362,Alice Adams,Critical,12,24,2025,59
10363,Elon Jobs,Medium,1,17,2026,217
10364,Diana Thomas,Medium,3,13,2026,41
10365,Sybil Baker,High,5,19,2025,315
10366,Sky Carter,Critical,3,23,2025,57
10367,Hannah Baker,High,9,7,2025,297
10368,Mark Hall,Critical,6,24,2023,233
10369,Laura Lee,High,7,6,2026,159
10370,Steve Jobs,High,4,28,2024,218
10371,Frank Davis,Critical,3,13,2025,284
10372,Mark Martin,Low,1,14,2026,310
10373,Olivia White,Medium,11,17,2025,202
10374,Ivan Jones,High,7,12,2025,17
10375,Carlos Hernandez,Medium,1,22,2024,241
10376,George Hill,Low,5,10,2023,312
10377,Fiona Jackson,Low,6,12,2025,205
10378,Uma Walker,High,8,11,2023,297
10379,Aaron Baker,Medium,7,13,2026,257
10380,Ivan Martin,Critical,12,15,2025,60
10381,Nancy Gates,High,7,8,2024,87
10382,Ian Anderson,Low,5,28,2026,89
10383,Victor Hall,High,1,23,2025,210
10384,Sky King,High,8,26,2025,272
10385,George Perez,Medium,5,8,2023,136
10386,Jasmine Lewis,High,7,25,2025,21
10387,Rupert Jobs,Medium,5,15,2023,246
10388,Elon Mitchell,High,4,17,2026,27
10389,Wendy Jackson,Low,11,23,2023,313
10390,Diana Scott,High,8,5,2025,63
10391,Yvonne Wilson,Medium,10,9,2023,295
10392,Ada Gonzalez,Medium,3,23,2024,184
10393,Eve Thompson,Medium,10,12,2025,67
10394,Grace Martin,Medium,11,15,2024,356
10395,Grace Adams,High,10,17,2026,305
10396,Niaj Lee,Medium,9,3,2023,24
10397,Sky Nelson,High,11,26,2026,89
10398,Wendy Turing,Low,12,12,2024,361
10399,Nancy Carter,High,2,3,2025,304
10400,Jeff LovelacePoe,Critical,3,16,2023,180
10401,Yvonne Brown,Critical,11,2,2024,363
10402,Ivan LovelacePoe,Low,1,9,2024,316
10403,Carlos Thompson,Medium,4,12,2025,129
10404,Sky White,Low,6,2,2025,216
10405,Xander Young,Critical,3,7,2024,55
10406,Ethan Roberts,Medium,3,5,2023,301
10407,Xander Hernandez,Critical,8,23,2026,270
10408,Xander King,High,2,10,2026,27
10409,Nancy Taylor,Medium,12,6,2023,18
10410,Alan Wilson,Medium,8,14,2024,222
10411,Diana Gates,Low,7,28,2026,104
10412,George Roberts,Medium,8,21,2026,78
10413,Carol Nelson,High,10,26,2024,317
10414,Linda Phillips,Low,4,14,2026,42
10415,Bob Williams,Low,9,1,2025,254
10416,Olivia Green,Critical,3,27,2024,2
10417,Linus Wilson,Low,5,18,2024,140
10418,David Wilson,Low,9,8,2024,362
10419,Frank Walker,Medium,3,15,2023,232
10420,Mike Thompson,Medium,5,8,2024,276
10421,George Walker,High,3,16,2024,219
10422,Bob Harris,Critical,12,9,2025,321
10423,Yvonne White,High,1,13,2023,202
10424,Elon Harris,Low,4,26,2025,315
10425,Elon Thomas,Critical,3,11,2025,236
10426,Aaron Taylor,Medium,4,2,2026,33
10427,Frank Jobs,High,1,17,2025,319
10428,Jeff Gonzalez,Medium,7,8,2024,258
10429,Sybil Williams,High,10,22,2025,236
10430,Judy Brown,Medium,10,6,2025,241
10431,Nancy Davis,High,9,26,2026,64
10432,Grace Wright,High,1,22,2025,222
10433,Laura Lee,Low,2,20,2024,227
10434,Uma White,Critical,3,9,2024,325
10435,Diana Gates,Critical,6,27,2025,174
10436,Nancy Wilson,High,7,7,2023,262
10437,Carol Garcia,Low,8,22,2024,159
10438,Peggy Martin,High,12,25,2025,351
10439,Ian Walker,High,11,28,2026,42
10440,George Wilson,Medium,10,14,2025,343
10441,Olivia Green,High,8,7,2026,3
10442,Yvonne Harris,Critical,12,1,2023,189
10443,Linus Gonzalez,Low,4,25,2024,19
10444,Wendy Jones,Medium,9,9,2024,52
10445,Hannah Jones,Low,6,21,2024,91
10446,David Brown,Medium,3,6,2025,224
10447,Ethan Jones,Medium,6,20,2026,167
10448,Ian Gates,High,10,10,2024,89
10449,Bob Allen,Medium,5,24,2026,336
10450,Kevin Lewis,High,6,23,2025,280
10451,Ian Mitchell,Medium,12,19,2023,290
10452,Nancy Gonzalez,High,4,27,2026,272
10453,Tim Phillips,Critical,5,14,2025,168
10454,Mike Phillips,Medium,5,8,2023,237
10455,Carlos Green,Critical,4,22,2025,202
10456,Sybil Wilson,Low,6,11,2026,44
10457,Olivia Davis,Low,9,7,2026,59
10458,Diana Turing,Critical,7,4,2023,296
10459,Alan Davis,High,5,4,2023,85
10460,Steve Hall,Critical,10,1,2026,334
10461,Rupert Jackson,Low,1,23,2025,168
10462,Carlos Miles,Low,2,3,2025,146
10463,Uma Taylor,Low,2,26,2026,81
10464,Alice Mitchell,Medium,5,4,2025,55
10465,Kevin Adams,Medium,3,24,2025,153
10466,Quentin Perez,High,9,12,2026,357
10467,Zach Hernandez,Medium,10,26,2025,312
10468,Fiona Hernandez,High,9,22,2026,282
10469,Trent King,High,8,9,2025,211
10470,Grace Turing,Medium,1,2,2026,57
10471,Hannah Hall,Critical,10,18,2025,321
10472,Kevin Gonzalez,Critical,11,16,2024,203
10473,Ian Green,Critical,6,6,2026,343
10474,Tim Miles,Critical,8,12,2023,249
10475,Linus Baker,Medium,6,1,2025,269
10476,Eve Musk,Critical,7,13,2023,236
10477,Jeff Musk,Medium,10,20,2024,47
10478,Tim Johnson,Low,4,17,2024,229
10479,Ian Nelson,Critical,8,3,2024,192
10480,Carlos Gates,Medium,2,7,2023,91
10481,Steve King,Critical,4,28,2026,323
10482,David Johnson,Low,8,21,2026,84
10483,Victor Garcia,High,12,8,2025,83
10484,Heidi Jobs,High,2,14,2025,143
10485,Olivia Mitchell,Low,9,16,2026,335
10486,Wendy Phillips,High,5,12,2024,213
10487,Mike Scott,Critical,3,24,2026,304
10488,Aaron Allen,High,5,16,2026,333
10489,Niaj Roberts,High,1,18,2024,122
10490,Yvonne Gonzalez,Critical,9,28,2024,206
10491,Beth Carter,Low,6,13,2023,312
10492,Wendy Wilson,Low,1,18,2023,362
10493,Yvonne Harris,Critical,3,25,2023,238
10494,Victor Scott,Critical,9,4,2026,293
10495,Linda Musk,Low,8,3,2023,330
10496,Ethan Taylor,Low,1,13,2023,308
10497,George Young,Low,3,10,2024,110
10498,Niaj Johnson,High,11,28,2025,170
10499,Aaron Harris,Low,9,14,2024,141
10500,Ada Young,Medium,1,11,2025,176
10501,Alice Turing,High,7,18,2026,67
10502,Yvonne Roberts,Critical,6,22,2025,193
10503,Victor Jackson,High,7,20,2026,227
10504,Alan Davis,Medium,3,18,2025,96
10505,Jasmine Perez,Low,7,26,2023,18
10506,Sybil Brown,Low,9,11,2023,232
10507,Mike Phillips,Critical,7,16,2023,254
10508,Hannah LovelacePoe,High,7,22,2023,310
10509,Tim Hall,Medium,2,12,2025,142
10510,Carlos Hernandez,High,1,14,2023,213
10511,Laura Jackson,Medium,3,18,2024,334
10512,Elon Walker,Low,3,15,2025,248
10513,Sky Young,Critical,6,7,2024,215
10514,Diana Zuckerberg,Critical,8,22,2023,249
10515,Karl Lopez,High,5,5,2026,261
10516,Yvonne Anderson,High,5,25,2026,139
10517,Ethan Scott,Critical,2,3,2024,294
10518,Alice Lopez,Critical,9,25,2024,51
10519,Diana Turing,Critical,1,6,2025,25
10520,Wendy Davis,Critical,12,15,2025,96
10521,Grace Nelson,Low,8,16,2026,220
10522,Olivia Anderson,High,11,2,2024,61
10523,Frank Lopez,High,8,22,2023,161
10524,Niaj Hill,High,5,12,2025,250
10525,Nancy Roberts,Low,5,21,2023,350
10526,Ian Miller,Low,7,23,2026,32
10527,Wendy Musk,Critical,6,21,2026,32
10528,Peggy Moore,Low,4,22,2026,293
10529,Grace Ross,Medium,10,20,2026,19
10530,Niaj Harris,High,8,28,2025,87
10531,Yvonne Lewis,High,10,11,2023,343
10532,Linus Jobs,Critical,7,26,2026,206
10533,Judy Davis,High,5,21,2023,297
10534,Victor Turner,Medium,12,11,2023,13
10535,Xander Garcia,Low,3,2,2024,170
10536,Hannah Wilson,Medium,1,12,2025,303
10537,Frank Wilson,Medium,12,14,2026,137
10538,Frank Musk,Critical,8,8,2023,295
10539,Alice Turing,Low,4,15,2026,313
10540,Heidi Lee,High,4,16,2025,36
10541,Victor Lee,Low,1,22,2026,121
10542,Rupert Lee,Low,2,1,2023,80
10543,Grace Davis,Critical,9,26,2025,8
10544,Jasmine Johnson,Medium,2,10,2023,67
10545,Laura Baker,High,4,13,2026,75
10546,Laura Brown,Medium,5,15,2025,114
10547,Mike Mitchell,Low,5,5,2024,349
10548,Xander Roberts,High,9,10,2023,193
10549,Judy Ross,Low,9,13,2024,47
10550,Hannah Lewis,Medium,9,3,2024,266
10551,Mike Walker,Medium,11,17,2023,316
10552,Zach White,Critical,7,13,2025,331
10553,Ivan Anderson,High,10,13,2023,155
10554,Wendy LovelacePoe,Critical,7,2,2025,105
10555,David Hernandez,Low,5,13,2023,258
10556,Beth Johnson,Medium,10,19,2026,214
10557,Linda Ross,High,12,6,2024,108
10558,Carlos Jobs,Medium,10,27,2023,119
10559,Carol Miller,Low,6,19,2023,232
10560,Ivan Jackson,High,8,10,2026,273
10561,Olivia Baker,High,8,6,2024,66
10562,Hannah Anderson,Medium,11,10,2023,115
10563,Diana Harris,Critical,11,17,2023,130
10564,Victor Roberts,High,8,28,2025,331
10565,Mallory Lopez,Medium,12,20,2026,251
10566,Sky Johnson,Low,7,10,2026,209
10567,Linda Thompson,Low,8,10,2025,176
10568,Beth Green,High,9,1,2025,315
10569,Xander Gates,High,11,28,2024,327
10570,Ian Gates,Low,8,13,2026,67
10571,David Adams,High,4,1,2024,245
10572,Mike Harris,High,12,17,2023,171
10573,Diana Zuckerberg,High,1,11,2024,184
10574,Linda Martin,Critical,4,4,2025,119
10575,Yvonne Martin,Low,1,7,2026,105
10576,Eve Harris,Low,5,1,2026,76
10577,Wendy Carter,High,7,24,2025,36
10578,Nancy Musk,Critical,11,1,2023,345
10579,Linda Green,Medium,11,5,2023,318
10580,Ada Wright,Critical,2,5,2024,161
10581,Mark Williams,High,6,22,2023,292
10582,Uma Gonzalez,Critical,9,23,2026,129
10583,Mark Gonzalez,Low,1,19,2024,219
10584,Linus Perez,Medium,2,18,2023,186
10585,Sky Gates,Medium,7,28,2026,23
10586,Eve Hall,Low,5,10,2025,334
10587,Heidi Mitchell,Medium,9,9,2023,164
10588,Ian Thompson,Medium,5,19,2025,251
10589,Steve Harris,Medium,6,27,2026,332
10590,Rupert Allen,Low,2,6,2023,261
10591,Grace Young,High,8,15,2026,310
10592,Kevin King,Low,5,6,2023,220
10593,Rupert Lopez,High,10,7,2024,256
10594,Xander Lopez,Medium,3,19,2024,296
10595,Xander Hernandez,Medium,2,8,2025,76
10596,Linus Allen,Critical,6,1,2023,344
10597,Trent Scott,Medium,2,15,2024,265
10598,Ethan Lopez,Medium,1,27,2024,239
10599,Steve Hill,Medium,5,5,2023,59
10600,Xander Anderson,Medium,6,1,2025,93
10601,Grace Hernandez,Critical,1,21,2024,345
10602,Jasmine Turner,Critical,3,2,2025,50
10603,Niaj Ross,High,4,8,2026,203
